ticker,company,sector,market_cap,ann_returns,ann_volatility,sharpe_ratio
AIA.NZ,Auckland International Airport Limited,Airport Services,14188234752.0,0.047695128664681244,0.217679027617219,0.04499803574051991
AIR.NZ,Air New Zealand Limited,Airlines,1471270784.0,-0.09564285085145262,0.260531548570727,-0.5125784250854344
ANZ.NZ,ANZ Group Holdings Limited,Diversified Banks,131009921024.0,0.19137190216871366,0.23067649197917806,0.6653122771719918
ARG.NZ,Argosy Property Limited,Diversified REITs,926408512.0,0.010011742770014055,0.22881710807155706,-0.12188012279774361
ATM.NZ,The a2 Milk Company Limited,Packaged Foods & Meats,6311207424.0,0.016063185278721404,0.3963610123925927,-0.05509324590090963
CEN.NZ,Contact Energy Limited,Electric Utilities,10074601472.0,0.065142246102699,0.21366946761391625,0.12749714035850726
CHI.NZ,Channel Infrastructure NZ Limited,Oil and Gas Refining,1346764800.0,0.4045511653107012,0.2614271101608442,1.402498635604844
CNU.NZ,Chorus Limited,Alternative Carriers,4273789952.0,0.11848651752192563,0.20689159200678026,0.38951083869703435
EBO.NZ,EBOS Group Limited,Health Care Distributors,4172538112.0,-0.001739187461306587,0.25140620539620406,-0.15766988487351433
FBU.NZ,Fletcher Building Limited,Construction Materials,3633153280.0,-0.021172959065907413,0.30667028337668667,-0.19262694257645893
FPH.NZ,Fisher & Paykel Healthcare Corporation Limited,Health Care Equipment & Services,22757449728.0,0.0795118334833305,0.2881511689218002,0.1444097334015095
FRW.NZ,Freightways Group Limited,Air Freight & Logistics,2396741376.0,0.11265985344590333,0.2478031524805599,0.3016904857647774
FSF.NZ,Fonterra Shareholders' Fund,Packaged Foods & Meats,773359040.0,0.34679466525271796,0.33946228137101603,0.9099528348338379
GNE.NZ,Genesis Energy Limited,Electric Utilities,3363790592.0,0.016766989018977215,0.20672492882228952,-0.10222768536633392
GTK.NZ,Gentrack Group Limited,Application Software,420596576.0,0.2741652569533994,0.47342451776148226,0.49905581162239904
HGH.NZ,Heartland Group Holdings Limited,Diversified Banks,1256917248.0,0.043257619378514044,0.28470131556406686,0.01881838644791371
HLG.NZ,Hallenstein Glasson Holdings Limited,Consumer Cyclical,599473088.0,0.1804454548299494,0.2570381952332723,0.554569155376242
